"Network.size","Bubble.size","PCR.frequency","R","Percentage.infected","sd"
100,"none","semiweekly",2.5,41.6888888888889,13.5407303375558
100,"none","semiweekly",3,54.1777777777778,13.286086107052
100,"none","weekly",1,21.5384615384615,7.18167447348562
100,"none","weekly",1.5,34.5384615384615,11.4518273422927
100,"none","weekly",2,43.2769230769231,11.5530281588476
100,"none","weekly",2.5,56.5230769230769,13.0326130476203
100,"none","weekly",3,69.9538461538462,11.7410732694873
100,"none","workday",1,16.5076923076923,3.87745572095881
100,"none","workday",1.5,20.7384615384615,7.32465168572465
100,"none","workday",2,24.9538461538462,9.60232541477949
100,"none","workday",2.5,31.8153846153846,10.3292887958242
100,"none","workday",3,39.6615384615385,14.6473746468636
250,"10","monthly",1,24.1636363636364,4.5360021159335
250,"10","monthly",1.5,32.2909090909091,5.47280178606128
250,"10","monthly",2,41.2,7.06951923328461
250,"10","monthly",2.5,53.2545454545455,8.12587599279601
250,"10","monthly",3,61.9454545454545,6.232766552541
250,"10","none",1,24.5090909090909,5.46011659748478
250,"10","none",1.5,34.5818181818182,5.72384852504191
250,"10","none",2,46.5818181818182,6.74804894509233
250,"10","none",2.5,58.7090909090909,6.61140555987203
250,"10","none",3,69.2,6.27938348361577
250,"10","semiweekly",1,18.6,3.4492990695488
250,"10","semiweekly",1.5,23.2222222222222,4.5357994557199
250,"10","semiweekly",2,26.5444444444444,4.96967693014482
250,"10","semiweekly",2.5,32.2888888888889,6.78977908238851
250,"10","semiweekly",3,36.4666666666667,6.74862487537758
250,"10","weekly",1,19.2363636363636,3.18506801519945
250,"10","weekly",1.5,24.3818181818182,5.63322686009826
250,"10","weekly",2,31.8363636363636,5.27963874415152
250,"10","weekly",2.5,39.0545454545455,7.2253057466138
250,"10","weekly",3,44.9818181818182,8.45445269693892
250,"10","workday",1,15.9090909090909,2.97356189416341
250,"10","workday",1.5,20.1636363636364,4.31329482832383
250,"10","workday",2,23.2727272727273,5.20546647486744
250,"10","workday",2.5,27.8,5.48854148123533
250,"10","workday",3,30.3454545454545,5.47462021419885
250,"25","monthly",1,27.3454545454545,5.74779609244897
250,"25","monthly",1.5,36.3636363636364,7.00980449023891
250,"25","monthly",2,53.6545454545455,7.13329343633351
250,"25","monthly",2.5,61.8181818181818,9.83085213073905
250,"25","monthly",3,72.9272727272727,6.23404399877263
250,"25","none",1,28.8545454545455,5.79899998243525
250,"25","none",1.5,42.0181818181818,7.50301863605262
250,"25","none",2,55.3818181818182,9.02650377525971
250,"25","none",2.5,68.8,6.41735784819772
250,"25","none",3,76.4181818181818,5.79671096364297
250,"25","semiweekly",1,19.0666666666667,3.39403389396967
250,"25","semiweekly",1.5,24.9888888888889,5.28075913165432
250,"25","semiweekly",2,30.7888888888889,4.94124419589195
250,"25","semiweekly",2.5,37.5444444444444,7.71021469890758
250,"25","semiweekly",3,44.9777777777778,9.04441860200126
250,"25","weekly",1,22.4727272727273,4.47969688044591
250,"25","weekly",1.5,29.4545454545455,5.92784528318625
250,"25","weekly",2,36.5818181818182,5.48618340570037
250,"25","weekly",2.5,47.4545454545455,7.6028667802373
250,"25","weekly",3,57.8181818181818,6.67299522667959
250,"25","workday",1,18.9454545454545,3.07104550671481
250,"25","workday",1.5,21.0363636363636,4.2416239331079
250,"25","workday",2,25.4181818181818,4.73645170822418
250,"25","workday",2.5,30.3272727272727,6.56259736237695
250,"25","workday",3,38.4545454545455,6.8716549442035
250,"5","monthly",1,21.9636363636364,3.97052845571606
250,"5","monthly",1.5,29.9636363636364,4.6086384944358
250,"5","monthly",2,37.1090909090909,5.40907836258464
250,"5","monthly",2.5,48.9090909090909,6.77391068429889
250,"5","monthly",3,56.6909090909091,6.4640294072534
250,"5","none",1,21.1454545454545,5.02336940830977
250,"5","none",1.5,32.4363636363636,7.20088101960634
250,"5","none",2,42.6181818181818,7.67375589453204
250,"5","none",2.5,50.7818181818182,8.54505215842356
250,"5","none",3,61.4181818181818,8.16948860868325
250,"5","semiweekly",1,16.9888888888889,2.9284931584288
250,"5","semiweekly",1.5,19.9555555555556,3.51988190945832
250,"5","semiweekly",2,24.5333333333333,4.4451921259612
250,"5","semiweekly",2.5,27.9555555555556,5.23509826672969
250,"5","semiweekly",3,34.5555555555556,6.93223373385865
250,"5","weekly",1,18.9090909090909,3.42421991368148
250,"5","weekly",1.5,23.9454545454545,4.90946568895522
250,"5","weekly",2,28.2727272727273,4.94293917060755
250,"5","weekly",2.5,34.2727272727273,7.72580883124099
250,"5","weekly",3,43.5272727272727,6.62569248675171
250,"5","workday",1,15.7090909090909,2.6171300327828
250,"5","workday",1.5,18.6545454545455,3.71040252906216
250,"5","workday",2,21.4363636363636,4.43017043535168
250,"5","workday",2.5,24.0909090909091,5.7733111325574
250,"5","workday",3,27.4363636363636,6.58953947740055
250,"50","monthly",1,30.1272727272727,7.24204709902335
250,"50","monthly",1.5,43.0909090909091,7.21735723938496
250,"50","monthly",2,60.8545454545455,6.5580456570597
250,"50","monthly",2.5,71.2363636363636,6.0108285386709
250,"50","monthly",3,80.3090909090909,3.96551157068704
250,"50","none",1,34.7090909090909,6.81259226756703
250,"50","none",1.5,49.9090909090909,8.27288404877079
250,"50","none",2,65.6727272727273,6.96983737584933
250,"50","none",2.5,77.3818181818182,4.74722703958444
250,"50","none",3,83.9818181818182,3.21090130541237
250,"50","semiweekly",1,21.4888888888889,4.77583005485862
250,"50","semiweekly",1.5,27.4444444444444,5.46627054824288
250,"50","semiweekly",2,34.1777777777778,6.9104840114156
